Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Mount Olive CDP (Coosa County),0.749,0.232,0.005,0,0.005
AL,Mount Olive CDP (Jefferson County),0.977,0.01,0.002,0.003,0.005
AL,Mount Vernon town,0.234,0.736,0.017,0.001,0.007
AL,Movico CDP,0.026,0.967,0.003,0,0
AL,Mulga town,0.81,0.169,0.001,0,0.006
AL,Munford town,0.824,0.156,0.005,0,0.01
AL,Muscle Shoals city,0.806,0.153,0.003,0.009,0.027
AL,Myrtlewood town,0.854,0.138,0,0,0.031
AL,Nanafalia CDP,0.574,0.404,0,0,0
AL,Nances Creek CDP,0.988,0,0.005,0,0.007
AL,Napier Field town,0.797,0.161,0.017,0.017,0.02
AL,Natural Bridge town,1,0,0,0,0
AL,Nauvoo town,0.991,0,0,0.005,0.027
AL,Nectar town,0.957,0.02,0.006,0.006,0.046
AL,Needham town,0.989,0,0.011,0,0
AL,Newbern town,0.317,0.672,0,0,0.022
AL,New Brockton town,0.701,0.21,0.055,0.005,0.025
AL,New Hope city,0.937,0.002,0.025,0.003,0.014
AL,New Market CDP,0.885,0.067,0.014,0.002,0.044
AL,New Site town,0.858,0.125,0.004,0,0.008
AL,Newton town,0.836,0.13,0.007,0.005,0.015
AL,New Union CDP,0.95,0.002,0.003,0,0.042
AL,Newville town,0.534,0.401,0,0,0.083
AL,North Courtland town,0.024,0.967,0,0,0
AL,North Johns town,0.497,0.462,0.041,0,0
AL,Northport city,0.684,0.269,0.003,0.011,0.041
AL,Notasulga town,0.65,0.333,0.001,0.001,0.008
AL,Oak Grove town,0.913,0.07,0,0.008,0.011
AL,Oak Hill town,0.308,0.692,0,0,0
AL,Oakman town,0.809,0.184,0.001,0,0.001
AL,Odenville town,0.942,0.023,0.003,0.007,0.021
AL,Ohatchee town,0.941,0.032,0.006,0,0.006
AL,Oneonta city,0.841,0.06,0.005,0.005,0.159
AL,Onycha town,0.957,0,0,0,0
AL,Opelika city,0.506,0.435,0.003,0.017,0.044
AL,Opp city,0.809,0.167,0.006,0.003,0.009
AL,Orange Beach city,0.943,0.006,0.007,0.008,0.026
AL,Orrville town,0.377,0.623,0,0,0
AL,Our Town CDP,0.855,0.128,0.014,0,0.005
AL,Owens Cross Roads town,0.915,0.036,0.01,0.003,0.022
AL,Oxford city,0.805,0.126,0.004,0.011,0.066
AL,Ozark city,0.648,0.302,0.007,0.009,0.032
AL,Paint Rock town,0.924,0.01,0.019,0,0
AL,Panola CDP,0.021,0.979,0,0,0
AL,Parrish town,0.706,0.26,0.005,0.005,0.005
AL,Pelham city,0.812,0.075,0.003,0.024,0.149
AL,Pell City city,0.808,0.156,0.003,0.008,0.023
AL,Pennington town,0.502,0.498,0,0,0
AL,Penton CDP,0.697,0.249,0,0,0.045
AL,Perdido Beach town,0.962,0.002,0.002,0.002,0.021
AL,Peterman CDP,0.865,0.09,0.011,0,0
AL,Petrey town,0.914,0.086,0,0,0
AL,Phenix City city,0.487,0.466,0.003,0.007,0.04
AL,Phil Campbell town,0.952,0.002,0.004,0,0.04
AL,Pickensville town,0.362,0.635,0.003,0,0
AL,Piedmont city,0.87,0.1,0.005,0.001,0.013
AL,Pike Road town,0.685,0.287,0.001,0.014,0.013
AL,Pinckard town,0.838,0.127,0.006,0.005,0.017
AL,Pine Apple town,0.735,0.242,0.008,0.008,0
AL,Pine Hill town,0.458,0.532,0.004,0.001,0.007
AL,Pine Level CDP,0.92,0.046,0.002,0.005,0.017
AL,Pine Ridge town,0.872,0.018,0,0,0.209
AL,Pinson city,0.79,0.17,0.002,0.004,0.037
AL,Pisgah town,0.964,0.001,0.015,0.003,0.004
AL,Pleasant Grove city,0.537,0.448,0.003,0.002,0.006
AL,Pleasant Groves town,0.952,0,0.026,0,0.005
AL,Point Clear CDP,0.588,0.396,0,0.006,0.009
AL,Pollard town,0.591,0.277,0.007,0,0.212
AL,Powell town,0.923,0.023,0.012,0,0.043
AL,Prattville city,0.785,0.167,0.004,0.014,0.031
