Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
NC,Lake Norman of Catawba CDP,0.95,0.025,0.002,0.007,0.02
NC,Lake Park village,0.868,0.07,0.005,0.019,0.052
NC,Lake Royale CDP,0.821,0.145,0.007,0.005,0.023
NC,Lake Santeetlah town,0.911,0,0.022,0,0.089
NC,Lake Waccamaw town,0.809,0.134,0.039,0.001,0.012
NC,Landis town,0.919,0.032,0.005,0.005,0.078
NC,Lansing town,0.943,0.013,0,0,0.006
NC,Lasker town,0.762,0.148,0,0.033,0.033
NC,Lattimore town,0.947,0.031,0,0.006,0.031
NC,Laurel Hill CDP,0.652,0.213,0.108,0.005,0.011
NC,Laurel Park town,0.962,0.016,0.001,0.003,0.026
NC,Laurinburg city,0.43,0.468,0.061,0.01,0.02
NC,Lawndale town,0.792,0.153,0,0.002,0.048
NC,Leggett town,0.667,0.283,0,0,0
NC,Leland town,0.839,0.1,0.006,0.015,0.049
NC,Lenoir city,0.784,0.127,0.004,0.009,0.09
NC,Lewiston Woodville town,0.14,0.816,0.005,0.013,0.02
NC,Lewisville town,0.903,0.05,0.003,0.017,0.034
NC,Lexington city,0.547,0.284,0.007,0.029,0.163
NC,Liberty town,0.674,0.204,0.011,0.002,0.144
NC,Light Oak CDP,0.262,0.732,0.003,0,0.019
NC,Lilesville town,0.479,0.494,0.002,0.002,0.007
NC,Lillington town,0.535,0.398,0.009,0.009,0.088
NC,Lincolnton city,0.766,0.137,0.003,0.006,0.16
NC,Linden town,0.769,0.123,0.031,0.008,0.054
NC,Littleton town,0.484,0.47,0.012,0.004,0.012
NC,Locust city,0.935,0.023,0.001,0.007,0.06
NC,Long View town,0.745,0.114,0.004,0.05,0.106
NC,Louisburg town,0.473,0.469,0.003,0.009,0.055
NC,Love Valley town,0.878,0,0,0,0.1
NC,Lowell city,0.859,0.087,0.005,0.01,0.057
NC,Lowesville CDP,0.921,0.046,0.006,0.007,0.025
NC,Lowgap CDP,0.954,0.009,0,0,0.04
NC,Lucama town,0.487,0.249,0.006,0,0.277
NC,Lumber Bridge town,0.755,0.16,0.043,0.011,0.032
NC,Lumberton city,0.408,0.372,0.131,0.024,0.067
NC,McAdenville town,0.892,0.022,0.015,0.009,0.057
NC,Macclesfield town,0.788,0.14,0,0.019,0.028
NC,McDonald town,0.407,0.168,0.398,0,0
NC,McFarlan town,0.632,0.231,0.009,0,0.188
NC,McLeansville CDP,0.937,0.042,0.002,0.006,0.033
NC,Macon town,0.849,0.134,0.008,0,0
NC,Madison town,0.651,0.292,0.006,0.001,0.051
NC,Maggie Valley town,0.926,0.006,0.008,0.018,0.053
NC,Magnolia town,0.343,0.337,0.009,0.003,0.403
NC,Maiden town,0.836,0.113,0.005,0.013,0.062
NC,Mamers CDP,0.915,0.029,0.019,0.005,0.073
NC,Manns Harbor CDP,0.892,0.007,0.005,0.005,0.124
NC,Manteo town,0.847,0.084,0.008,0.003,0.09
NC,Marble CDP,0.969,0,0.019,0,0.006
NC,Marietta town,0.423,0.566,0,0,0
NC,Marion city,0.765,0.111,0.005,0.008,0.131
NC,Mar-Mac CDP,0.569,0.297,0.003,0.012,0.137
NC,Marshall town,0.975,0,0.008,0.001,0.014
NC,Marshallberg CDP,0.978,0,0,0.015,0.002
NC,Mars Hill town,0.871,0.09,0.002,0.01,0.034
NC,Marshville town,0.48,0.453,0.006,0.002,0.116
NC,Marvin village,0.862,0.057,0.002,0.054,0.033
NC,Matthews town,0.818,0.096,0.003,0.042,0.058
NC,Maury CDP,0.436,0.504,0.008,0.004,0.115
NC,Maxton town,0.192,0.65,0.138,0.001,0.018
NC,Mayodan town,0.858,0.103,0.004,0.002,0.04
NC,Maysville town,0.452,0.488,0.007,0.007,0.047
NC,Mebane city,0.735,0.204,0.005,0.012,0.06
NC,Mesic town,0.391,0.605,0,0,0
NC,Micro town,0.782,0.125,0,0.002,0.095
NC,Middleburg town,0.293,0.639,0,0,0.03
NC,Middlesex town,0.527,0.296,0.007,0,0.162
NC,Midland town,0.899,0.062,0.003,0.009,0.035
NC,Midway town,0.882,0.082,0.004,0.005,0.035
NC,Millers Creek CDP,0.943,0.009,0.001,0.001,0.045
NC,Millingport CDP,0.97,0.007,0.002,0.017,0.02
NC,Mills River town,0.947,0.017,0.003,0.007,0.039
NC,Milton town,0.512,0.464,0,0,0
NC,Mineral Springs town,0.819,0.139,0.005,0.005,0.046
NC,Minnesott Beach town,0.943,0.018,0.002,0.011,0.07
NC,Mint Hill town,0.784,0.123,0.006,0.025,0.083
NC,Misenheimer village,0.875,0.071,0.003,0.014,0.043
NC,Mocksville town,0.739,0.146,0.006,0.008,0.12
NC,Momeyer town,0.888,0.085,0,0,0.004
NC,Moncure CDP,0.541,0.366,0.004,0.003,0.096
NC,Monroe city,0.52,0.252,0.006,0.009,0.294
NC,Montreat town,0.913,0.051,0,0.007,0.028
NC,Mooresboro town,0.81,0.167,0.006,0.003,0.01
NC,Mooresville town,0.802,0.109,0.005,0.033,0.069
NC,Moravian Falls CDP,0.772,0.049,0.005,0.007,0.259
NC,Morehead City town,0.82,0.107,0.005,0.016,0.069
NC,Morganton city,0.701,0.122,0.009,0.024,0.164
NC,Morrisville town,0.54,0.129,0.004,0.272,0.059
NC,Morven town,0.198,0.746,0.004,0,0.029
NC,Mountain Home CDP,0.896,0.031,0.007,0.014,0.086
NC,Mountain View CDP,0.858,0.081,0.002,0.027,0.042
NC,Mount Airy city,0.841,0.082,0.003,0.014,0.067
NC,Mount Gilead town,0.412,0.56,0.001,0.007,0.012
NC,Mount Holly city,0.804,0.127,0.004,0.024,0.055
NC,Mount Olive town,0.404,0.505,0.008,0.004,0.092
NC,Mount Pleasant town,0.943,0.04,0.001,0.007,0.018
NC,Moyock CDP,0.885,0.069,0.004,0.012,0.036
NC,Mulberry CDP,0.956,0.01,0,0.003,0.039
NC,Murfreesboro town,0.449,0.509,0.002,0.01,0.029
NC,Murphy town,0.876,0.041,0.025,0.021,0.042
NC,Murraysville CDP,0.796,0.137,0.003,0.019,0.053
NC,Myrtle Grove CDP,0.93,0.032,0.003,0.012,0.021
NC,Nags Head town,0.946,0.016,0.005,0.003,0.032
NC,Nashville town,0.512,0.455,0.006,0.004,0.016
NC,Navassa town,0.271,0.636,0.005,0.001,0.1
NC,Neuse Forest CDP,0.86,0.066,0.001,0.029,0.054
NC,New Bern city,0.579,0.332,0.004,0.036,0.058
NC,Newland town,0.888,0.009,0.009,0.004,0.102
NC,New London town,0.9,0.048,0.003,0.038,0.008
NC,Newport town,0.817,0.113,0.005,0.017,0.047
NC,Newton city,0.737,0.139,0.004,0.033,0.129
NC,Newton Grove town,0.717,0.107,0.011,0.009,0.151
NC,Norlina town,0.485,0.452,0.002,0.004,0.063
NC,Norman town,0.594,0.196,0.058,0,0.239
NC,Northchase CDP,0.786,0.153,0.007,0.017,0.042
NC,Northlakes CDP,0.969,0.007,0.001,0.012,0.019
NC,North Topsail Beach town,0.943,0.017,0.005,0.013,0.032
NC,Northwest city,0.299,0.667,0,0.003,0.033
NC,North Wilkesboro town,0.73,0.136,0.004,0.006,0.131
NC,Norwood town,0.716,0.219,0.008,0.007,0.051
NC,Oakboro town,0.789,0.129,0.008,0.004,0.079
NC,Oak City town,0.375,0.603,0.003,0,0.019
NC,Oak Island town,0.967,0.006,0.006,0.003,0.014
NC,Oak Ridge town,0.889,0.052,0.004,0.034,0.03
NC,Ocean Isle Beach town,0.962,0.002,0,0.013,0.035
NC,Ocracoke CDP,0.956,0.016,0.004,0.002,0.191
NC,Ogden CDP,0.944,0.018,0.004,0.011,0.026
NC,Old Fort town,0.838,0.135,0.001,0.003,0.029
NC,Old Hundred CDP,0.523,0.174,0.174,0,0.056
NC,Oriental town,0.924,0.057,0.001,0.003,0.011
NC,Orrum town,0.582,0.264,0.055,0,0.143
NC,Ossipee town,0.851,0.105,0,0.002,0.039
NC,Oxford city,0.386,0.556,0.004,0.011,0.048
NC,Pantego town,0.721,0.207,0.067,0,0.089
NC,Parkton town,0.722,0.151,0.055,0.007,0.071
NC,Parmele town,0.086,0.914,0,0,0
NC,Patterson Springs town,0.871,0.087,0,0.003,0.024
NC,Peachland town,0.622,0.341,0.005,0.002,0.009
NC,Peletier town,0.922,0.012,0.006,0.005,0.061
NC,Pembroke town,0.164,0.123,0.664,0.006,0.022
NC,Pikeville town,0.869,0.081,0.009,0.003,0.047
NC,Pilot Mountain town,0.891,0.065,0.004,0.009,0.033
NC,Pinebluff town,0.812,0.118,0.016,0.005,0.059
NC,Pinehurst village,0.928,0.038,0.004,0.013,0.021
NC,Pine Knoll Shores town,0.963,0.007,0.001,0.01,0.01
NC,Pine Level town,0.732,0.152,0.007,0.001,0.129
NC,Pinetops town,0.342,0.652,0.002,0,0.003
NC,Pinetown CDP,0.974,0,0,0,0.071
NC,Pineville town,0.621,0.222,0.005,0.034,0.201
NC,Piney Green CDP,0.633,0.224,0.007,0.028,0.122
NC,Pink Hill town,0.554,0.288,0,0,0.203
NC,Pinnacle CDP,0.911,0.066,0.001,0.009,0.013
NC,Pittsboro town,0.722,0.195,0.003,0.018,0.089
NC,Plain View CDP,0.775,0.164,0.011,0.014,0.05
NC,Pleasant Garden town,0.83,0.107,0.006,0.007,0.047
NC,Pleasant Hill CDP,0.965,0.009,0,0.001,0.034
NC,Plymouth town,0.292,0.684,0.004,0.004,0.012
NC,Polkton town,0.337,0.61,0.016,0.006,0.082
NC,Polkville city,0.965,0.017,0,0.002,0.039
NC,Pollocksville town,0.685,0.286,0.013,0,0.01
NC,Porters Neck CDP,0.921,0.039,0.002,0.02,0.022
NC,Potters Hill CDP,0.971,0,0,0,0.027
NC,Powellsville town,0.373,0.594,0.011,0,0.036
NC,Princeton town,0.672,0.255,0.008,0.009,0.059
NC,Princeville town,0.026,0.963,0,0,0.008
NC,Proctorville town,0.735,0.188,0.051,0,0
NC,Prospect CDP,0.039,0.009,0.931,0,0.014
NC,Pumpkin Center CDP,0.686,0.173,0.007,0.033,0.101
NC,Raeford city,0.436,0.411,0.043,0.01,0.096
NC,Raemon CDP,0.156,0.053,0.787,0,0
NC,Raleigh city,0.575,0.293,0.005,0.043,0.114
NC,Ramseur town,0.756,0.126,0.01,0.014,0.152
NC,Randleman city,0.863,0.059,0.006,0.004,0.076
NC,Ranlo town,0.751,0.159,0.008,0.018,0.073
NC,Raynham town,0.528,0.181,0.181,0.069,0.042
NC,Red Cross town,0.962,0.013,0,0.007,0.032
NC,Red Oak town,0.872,0.097,0.009,0.005,0.017
NC,Red Springs town,0.322,0.488,0.125,0.004,0.064
NC,Reidsville city,0.524,0.419,0.003,0.006,0.047
NC,Rennert town,0.151,0.277,0.433,0.003,0.243
NC,Rex CDP,0.582,0.073,0.273,0,0.055
NC,Rhodhiss town,0.928,0.008,0.001,0.016,0.046
NC,Richfield town,0.825,0.088,0.013,0.054,0.007
NC,Richlands town,0.739,0.182,0.003,0.01,0.082
NC,Rich Square town,0.359,0.626,0.004,0,0.015
NC,Riegelwood CDP,0.708,0.249,0.012,0,0.054
NC,River Bend town,0.882,0.086,0.004,0.01,0.026
NC,River Road CDP,0.605,0.227,0.01,0.001,0.199
NC,Roanoke Rapids city,0.636,0.312,0.006,0.017,0.032
NC,Robbins town,0.721,0.026,0.006,0,0.503
NC,Robbinsville town,0.847,0,0.034,0.01,0.119
NC,Robersonville town,0.302,0.666,0.006,0.006,0.028
NC,Rockfish CDP,0.679,0.202,0.017,0.012,0.116
NC,Rockingham city,0.574,0.341,0.017,0.021,0.051
NC,Rockwell town,0.948,0.011,0,0.007,0.031
NC,Rocky Mount city,0.335,0.613,0.006,0.01,0.037
NC,Rocky Point CDP,0.617,0.116,0.008,0.005,0.318
NC,Rodanthe CDP,0.962,0.008,0.008,0.004,0.015
NC,Rolesville town,0.741,0.178,0.004,0.031,0.062
NC,Ronda town,0.911,0.022,0.002,0,0.091
NC,Roper town,0.182,0.786,0,0,0.029
NC,Roseboro town,0.49,0.432,0.007,0.013,0.049
NC,Rose Hill town,0.514,0.314,0.002,0.005,0.208
NC,Rosman town,0.932,0.002,0.019,0.002,0.104
NC,Rougemont CDP,0.788,0.16,0.004,0.002,0.041
NC,Rowland town,0.21,0.703,0.064,0,0.016
NC,Roxboro city,0.449,0.468,0.006,0.004,0.087
NC,Roxobel town,0.542,0.458,0,0,0.004
NC,Royal Pines CDP,0.919,0.044,0.002,0.012,0.018
NC,Ruffin CDP,0.829,0.139,0.011,0.003,0.016
NC,Rural Hall town,0.728,0.159,0.002,0.005,0.135
NC,Ruth town,0.875,0.066,0.007,0,0.025
NC,Rutherford College town,0.964,0.004,0,0.025,0.004
NC,Rutherfordton town,0.849,0.104,0.003,0.016,0.03
NC,St. Helena village,0.748,0.213,0.008,0,0.041
NC,St. James town,0.978,0.01,0.001,0.006,0.009
NC,St. Pauls town,0.537,0.191,0.058,0.002,0.251
NC,St. Stephens CDP,0.828,0.042,0.003,0.044,0.103
NC,Salem CDP,0.936,0.012,0.002,0.005,0.042
NC,Salemburg town,0.883,0.071,0.014,0.002,0.021
NC,Salisbury city,0.524,0.377,0.004,0.016,0.106
NC,Saluda city,0.957,0.027,0.003,0.003,0.02
NC,Salvo CDP,0.969,0.013,0,0.004,0.031
NC,Sandy Creek town,0.9,0.05,0.004,0.008,0.012
NC,Sandyfield town,0.15,0.812,0.013,0,0.018
NC,Sanford city,0.552,0.276,0.008,0.011,0.256
NC,Saratoga town,0.517,0.409,0.005,0,0.066
NC,Sawmills town,0.941,0.009,0.003,0.002,0.052
NC,Saxapahaw CDP,0.787,0.117,0.005,0.001,0.133
NC,Scotch Meadows CDP,0.884,0.06,0.021,0.022,0.01
NC,Scotland Neck town,0.308,0.683,0,0.001,0.016
NC,Seaboard town,0.236,0.745,0.002,0.002,0.002
NC,Sea Breeze CDP,0.882,0.082,0.006,0.011,0.016
NC,Seagrove town,0.939,0.026,0,0,0.013
NC,Sedalia town,0.209,0.761,0.003,0.002,0.018
NC,Selma town,0.388,0.372,0.005,0.002,0.348
NC,Seven Devils town,0.953,0.026,0.01,0.005,0.005
NC,Seven Lakes CDP,0.944,0.03,0.002,0.007,0.02
NC,Seven Springs town,0.818,0.082,0,0,0.218
NC,Severn town,0.685,0.312,0,0,0.014
NC,Shallotte town,0.852,0.093,0.006,0.013,0.048
NC,Shannon CDP,0.209,0.255,0.407,0,0.262
NC,Sharpsburg town,0.368,0.589,0.001,0.006,0.025
NC,Shelby city,0.547,0.413,0.004,0.008,0.031
NC,Siler City town,0.44,0.191,0.017,0.004,0.498
NC,Silver City CDP,0.04,0.898,0.01,0.001,0.02
NC,Silver Lake CDP,0.778,0.088,0.006,0.008,0.129
NC,Simpson village,0.606,0.37,0,0,0.026
NC,Sims town,0.713,0.163,0,0.004,0.089
NC,Skippers Corner CDP,0.715,0.205,0.015,0.004,0.104
NC,Smithfield town,0.569,0.272,0.005,0.008,0.193
NC,Sneads Ferry CDP,0.924,0.037,0.003,0.008,0.035
NC,Snow Hill town,0.382,0.529,0.002,0.011,0.087
NC,Southern Pines town,0.717,0.24,0.006,0.008,0.039
NC,Southern Shores town,0.978,0.003,0.001,0.006,0.015
NC,South Henderson CDP,0.339,0.499,0.002,0.003,0.182
NC,South Mills CDP,0.749,0.163,0.009,0.024,0.024
NC,Southmont CDP,0.925,0.04,0.004,0.004,0.018
NC,Southport city,0.822,0.154,0.001,0.001,0.029
NC,South Rosemary CDP,0.418,0.553,0.008,0.004,0.014
NC,South Weldon CDP,0.149,0.787,0.011,0.001,0.051
NC,Sparta town,0.855,0.027,0.01,0.01,0.147
NC,Speed town,0.338,0.663,0,0,0
NC,Spencer town,0.582,0.328,0.004,0.009,0.092
NC,Spencer Mountain town,0.73,0,0,0,0.243
NC,Spindale town,0.688,0.267,0.003,0.007,0.033
NC,Spivey's Corner CDP,0.65,0.221,0.008,0,0.128
NC,Spring Hope town,0.469,0.47,0.007,0.005,0.042
NC,Spring Lake town,0.472,0.363,0.011,0.03,0.154
NC,Spruce Pine town,0.92,0.004,0.007,0.008,0.076
NC,Staley town,0.802,0.081,0.01,0.008,0.094
NC,Stallings town,0.883,0.056,0.005,0.023,0.058
NC,Stanfield town,0.94,0.009,0.007,0.002,0.048
NC,Stanley town,0.876,0.097,0.004,0.004,0.016
NC,Stantonsburg town,0.518,0.454,0.003,0.001,0.056
NC,Star town,0.781,0.097,0.006,0.002,0.216
NC,Statesville city,0.548,0.345,0.003,0.019,0.109
NC,Stedman town,0.832,0.117,0.011,0.007,0.032
NC,Stem town,0.836,0.082,0.006,0.004,0.067
NC,Stokes CDP,0.795,0.186,0.003,0.003,0.003
NC,Stokesdale town,0.909,0.047,0.004,0.014,0.035
NC,Stoneville town,0.786,0.162,0.002,0.003,0.038
NC,Stonewall town,0.765,0.203,0,0.004,0.018
NC,Stony Point CDP,0.882,0.044,0.002,0.007,0.068
NC,Stovall town,0.545,0.414,0.002,0.002,0.038
NC,Sugar Mountain village,0.904,0.02,0.03,0,0.04
NC,Summerfield town,0.899,0.044,0.004,0.022,0.043
NC,Sunbury CDP,0.83,0.138,0.003,0.003,0.045
NC,Sunset Beach town,0.968,0.008,0.004,0.006,0.019
NC,Surf City town,0.958,0.009,0.002,0.012,0.031
NC,Swannanoa CDP,0.878,0.047,0.007,0.013,0.089
NC,Swan Quarter CDP,0.645,0.275,0,0,0.074
NC,Swansboro town,0.899,0.035,0.004,0.018,0.045
NC,Swepsonville town,0.908,0.048,0.001,0.008,0.044
NC,Sylva town,0.858,0.027,0.028,0.018,0.09
NC,Tabor City town,0.592,0.362,0.011,0.002,0.023
NC,Tarboro town,0.472,0.484,0.001,0.005,0.049
NC,Tar Heel town,0.915,0,0.017,0,0.051
NC,Taylorsville town,0.808,0.13,0.001,0.013,0.063
NC,Taylortown town,0.32,0.65,0.004,0.008,0.01
NC,Teachey town,0.449,0.415,0.003,0.035,0.184
NC,Thomasville city,0.683,0.196,0.007,0.011,0.144
NC,Toast CDP,0.899,0.032,0,0.003,0.111
NC,Tobaccoville village,0.92,0.062,0.005,0.003,0.02
NC,Topsail Beach town,0.965,0.016,0.005,0.003,0.005
NC,Trenton town,0.519,0.366,0.01,0,0.07
NC,Trent Woods town,0.961,0.019,0.002,0.006,0.014
NC,Trinity city,0.917,0.049,0.004,0.012,0.023
NC,Troutman town,0.733,0.216,0.003,0.009,0.048
NC,Troy town,0.589,0.318,0.007,0.01,0.103
NC,Tryon town,0.8,0.165,0.001,0.004,0.044
NC,Turkey town,0.551,0.267,0,0.01,0.199
NC,Tyro CDP,0.935,0.015,0.005,0.005,0.046
NC,Unionville town,0.949,0.017,0.002,0.006,0.03
NC,Valdese town,0.927,0.013,0.001,0.031,0.026
NC,Valle Crucis CDP,0.981,0,0,0.002,0.024
NC,Valley Hill CDP,0.917,0.022,0.001,0.009,0.071
NC,Vanceboro town,0.651,0.3,0.006,0,0.026
NC,Vandemere town,0.469,0.457,0.004,0.004,0.047
NC,Vander CDP,0.64,0.271,0.036,0.009,0.044
NC,Vann Crossroads CDP,0.827,0.06,0.018,0.003,0.083
NC,Varnamtown town,0.976,0.009,0,0,0.015
NC,Vass town,0.796,0.131,0.026,0,0.096
NC,Waco town,0.791,0.196,0,0,0.012
NC,Wade town,0.746,0.209,0.007,0.013,0.032
NC,Wadesboro town,0.356,0.607,0.002,0.014,0.018
NC,Wagram town,0.41,0.492,0.068,0.008,0.01
NC,Wake Forest town,0.773,0.153,0.004,0.029,0.056
NC,Wakulla CDP,0.124,0.01,0.867,0,0.038
NC,Walkertown town,0.769,0.175,0.003,0.006,0.056
NC,Wallace town,0.52,0.26,0.004,0.002,0.255
NC,Wallburg town,0.949,0.009,0.005,0.008,0.031
NC,Walnut Cove town,0.796,0.182,0.001,0.002,0.015
NC,Walnut Creek village,0.917,0.041,0.001,0.019,0.017
NC,Walstonburg town,0.671,0.301,0.005,0,0.046
NC,Wanchese CDP,0.959,0.002,0.002,0.002,0.044
NC,Warrenton town,0.546,0.408,0.008,0.002,0.034
NC,Warsaw town,0.335,0.53,0.004,0.003,0.169
NC,Washington city,0.49,0.455,0.002,0.005,0.055
NC,Washington Park town,0.967,0.027,0.004,0,0.011
NC,Watha town,0.847,0.079,0.005,0,0.074
NC,Waves CDP,0.94,0,0,0,0.045
NC,Waxhaw town,0.821,0.112,0.001,0.02,0.064
NC,Waynesville town,0.924,0.024,0.006,0.004,0.057
NC,Weaverville town,0.952,0.009,0,0.004,0.021
NC,Webster town,0.948,0.017,0.006,0,0.017
NC,Weddington town,0.912,0.039,0.002,0.026,0.03
NC,Welcome CDP,0.922,0.037,0.002,0.014,0.036
NC,Weldon town,0.254,0.707,0.003,0.004,0.011
NC,Wendell town,0.581,0.302,0.008,0.009,0.115
NC,Wentworth town,0.825,0.144,0.001,0.003,0.036
NC,Wesley Chapel village,0.907,0.046,0.002,0.015,0.05
NC,West Canton CDP,0.978,0.005,0.004,0.001,0.014
NC,West Jefferson town,0.929,0.008,0.002,0.01,0.07
NC,West Marion CDP,0.925,0.045,0.004,0.005,0.033
NC,Westport CDP,0.951,0.027,0.001,0.008,0.017
NC,Whispering Pines village,0.955,0.013,0.002,0.01,0.029
NC,Whitakers town,0.255,0.702,0.003,0.005,0.02
NC,White Lake town,0.868,0.052,0.005,0.004,0.087
NC,White Oak CDP,0.583,0.317,0.003,0,0.107
NC,White Plains CDP,0.94,0.01,0.008,0.005,0.042
NC,Whiteville city,0.532,0.41,0.013,0.008,0.033
NC,Whitsett town,0.91,0.068,0,0,0.029
NC,Wilkesboro town,0.815,0.089,0.002,0.03,0.073
NC,Williamston town,0.346,0.624,0.002,0.005,0.021
NC,Wilmington city,0.735,0.199,0.005,0.012,0.061
NC,Wilson city,0.429,0.479,0.003,0.012,0.094
NC,Wilson's Mills town,0.57,0.307,0.007,0.004,0.187
NC,Windsor town,0.328,0.626,0.007,0.02,0.011
NC,Winfall town,0.572,0.401,0.003,0.008,0.02
NC,Wingate town,0.606,0.288,0.004,0.009,0.124
NC,Winston-Salem city,0.512,0.347,0.004,0.02,0.147
NC,Winterville town,0.628,0.316,0.003,0.021,0.033
NC,Winton town,0.259,0.701,0.023,0,0.012
NC,Woodfin town,0.873,0.049,0.006,0.009,0.087
NC,Woodland town,0.492,0.472,0.007,0.005,0.011
NC,Woodlawn CDP,0.75,0.186,0.008,0.003,0.042
NC,Wrightsboro CDP,0.599,0.336,0.008,0.004,0.056
NC,Wrightsville Beach town,0.979,0.003,0.002,0.006,0.011
NC,Yadkinville town,0.741,0.07,0.001,0.003,0.237
NC,Yanceyville town,0.392,0.544,0.005,0.004,0.036
NC,Youngsville town,0.693,0.251,0.003,0.008,0.048
NC,Zebulon town,0.473,0.386,0.005,0.01,0.159
ND,Abercrombie city,0.985,0.004,0.008,0,0.004
ND,Adams city,0.953,0,0,0,0.087
ND,Alamo city,0.86,0,0,0,0.123
ND,Alexander city,0.915,0.018,0.049,0,0.049
ND,Alice city,1,0,0,0,0
ND,Almont city,1,0,0,0,0
ND,Alsen city,1,0,0,0,0
ND,Ambrose city,1,0,0,0,0
ND,Amenia city,0.926,0,0.032,0,0
ND,Amidon city,1,0,0,0,0
ND,Anamoose city,0.996,0,0.004,0,0
ND,Aneta city,0.968,0,0.009,0,0.009
ND,Antler city,0.963,0,0.037,0,0.037
ND,Ardoch city,0.91,0,0,0,0.448
ND,Argusville city,0.979,0.002,0.015,0,0
ND,Arnegard city,0.974,0,0.009,0,0.017
ND,Arthur city,0.985,0,0,0,0.006
ND,Ashley city,0.973,0.001,0.001,0.007,0.004
ND,Auburn CDP,1,0,0,0,0.063
ND,Ayr city,1,0,0,0,0
ND,Balfour city,0.962,0,0.038,0,0.038
ND,Balta city,1,0,0,0,0
ND,Bantry city,1,0,0,0,0
ND,Barney city,0.981,0,0,0,0
ND,Barton CDP,1,0,0,0,0
ND,Bathgate city,0.953,0,0.047,0,0.023
ND,Beach city,0.974,0.006,0.004,0.001,0.022
ND,Belcourt CDP,0.026,0.002,0.958,0.001,0.014
ND,Belfield city,0.973,0,0.009,0.009,0.019
ND,Benedict city,0.955,0.015,0,0,0.03
ND,Bergen city,1,0,0,0,0
ND,Berlin city,0.882,0,0,0.118,0
ND,Berthold city,0.987,0.002,0,0,0.018
ND,Beulah city,0.948,0.002,0.023,0.003,0.023
ND,Binford city,1,0,0,0,0.005
ND,Bisbee city,0.96,0,0.04,0,0.008
ND,Bismarck city,0.924,0.007,0.045,0.006,0.013
ND,Blanchard CDP,0.885,0,0.115,0,0
ND,Bottineau city,0.924,0.007,0.041,0.005,0.014
ND,Bowbells city,0.964,0,0.006,0.027,0.006
ND,Bowdon city,0.992,0,0.008,0,0.015
ND,Bowman city,0.977,0,0.002,0.001,0.039
ND,Braddock city,0.952,0,0,0,0
ND,Briarwood city,0.959,0,0,0.041,0
ND,Brinsmade city,1,0,0,0,0
ND,Brocket city,1,0,0,0,0
ND,Brooktree Park CDP,0.95,0,0,0.013,0
ND,Buchanan city,1,0,0,0,0
ND,Bucyrus city,1,0,0,0,0
ND,Buffalo city,0.926,0.005,0.016,0.005,0
ND,Burlington city,0.942,0.001,0.027,0.002,0.021
ND,Butte city,1,0,0,0,0
ND,Buxton city,0.994,0.003,0.003,0,0.009
ND,Caledonia CDP,1,0,0,0,0
ND,Calio city,1,0,0,0,0
ND,Calvin city,1,0,0,0,0
ND,Cando city,0.961,0.002,0.023,0,0.005
ND,Cannon Ball CDP,0.048,0.001,0.929,0,0.014
ND,Canton City city,0.978,0,0,0,0
ND,Carpio city,0.994,0,0.006,0,0
ND,Carrington city,0.981,0.001,0.007,0.001,0.007
ND,Carson city,0.993,0,0.003,0,0.007
ND,Casselton city,0.973,0.001,0.009,0.001,0.024
ND,Cathay city,0.977,0,0.023,0,0
ND,Cavalier city,0.954,0,0.022,0.002,0.027
ND,Cayuga city,1,0,0,0,0
ND,Center city,0.96,0.005,0.032,0,0.019
ND,Christine city,0.98,0,0,0.013,0.027
ND,Churchs Ferry city,1,0,0,0,0
ND,Cleveland city,1,0,0,0,0
ND,Clifford city,1,0,0,0,0
ND,Cogswell city,0.949,0,0.051,0,0
ND,Coleharbor city,0.962,0,0,0,0.051
ND,Colfax city,1,0,0,0,0
ND,Columbus city,0.955,0.015,0,0.023,0
ND,Conway city,1,0,0,0,0
ND,Cooperstown city,0.992,0.002,0.001,0.004,0.003
ND,Courtenay city,1,0,0,0,0
ND,Crary city,0.951,0,0.042,0,0.021
ND,Crosby city,0.981,0.003,0.005,0.003,0.019
ND,Crystal city,0.935,0,0.014,0,0.058
ND,Dahlen CDP,1,0,0,0,0.056
ND,Davenport city,0.929,0,0.004,0,0.107
ND,Dawson city,1,0,0,0,0.082
ND,Dazey city,0.981,0,0,0,0.019
ND,Deering city,0.929,0,0,0.031,0.02
ND,De Lamere CDP,0.933,0,0,0.033,0.133
ND,Denhoff CDP,1,0,0,0,0
ND,Des Lacs city,0.966,0,0.02,0,0.005
ND,Devils Lake city,0.829,0.005,0.125,0.004,0.013
ND,Dickey city,1,0,0,0,0
ND,Dickinson city,0.942,0.01,0.012,0.015,0.021
ND,Dodge city,0.897,0,0.092,0,0.011
ND,Donnybrook city,0.966,0,0,0,0
ND,Douglas city,0.953,0,0.031,0,0.031
ND,Drake city,0.978,0,0.004,0,0.025
ND,Drayton city,0.983,0.004,0.006,0,0.015
ND,Driscoll CDP,0.963,0,0.037,0,0.012
ND,Dunn Center city,0.938,0,0.014,0,0.014
ND,Dunseith city,0.15,0.009,0.796,0,0.022
ND,Dwight city,1,0,0,0,0
ND,East Dunseith CDP,0.01,0.002,0.986,0,0.016
ND,East Fairview CDP,0.947,0,0.026,0,0
ND,Edgeley city,0.995,0,0,0.002,0.012
ND,Edinburg city,0.954,0,0,0.005,0.026
