Geographic Area,City,poverty_rate
AL,Pinckard town,0.13
AL,Pine Apple town,0.21
AL,Pine Hill town,0.485
AL,Pine Level CDP,0.096
AL,Pine Ridge town,0.447
AL,Pinson city,0.058
AL,Pisgah town,0.319
AL,Pleasant Grove city,0.064
AL,Pleasant Groves town,0.082
AL,Point Clear CDP,0.121
AL,Pollard town,0.242
AL,Powell town,0.315
AL,Prattville city,0.115
AL,Priceville town,0.058
AL,Prichard city,0.363
AL,Providence town,0.108
AL,Putnam CDP,0.3
AL,Ragland town,0.17
AL,Rainbow City city,0.177
AL,Rainsville city,0.167
AL,Ranburne town,0.058
AL,Ray CDP,0.058
AL,Red Bay city,0.299
AL,Redland CDP,0.059
AL,Red Level town,0.176
AL,Redstone Arsenal CDP,0.098
AL,Reece City town,0.137
AL,Reeltown CDP,0
AL,Reform town,0.399
AL,Rehobeth town,0.095
AL,Repton town,0.346
AL,Ridgeville town,0.359
AL,River Falls town,0.205
AL,Riverside town,0.048
AL,Riverview town,0.159
AL,Roanoke city,0.203
AL,Robertsdale city,0.106
AL,Rock Creek CDP,0.081
AL,Rockford town,0.381
AL,Rock Mills CDP,0.367
AL,Rockville CDP,0
AL,Rogersville town,0.287
AL,Rosa town,0.114
AL,Russellville city,0.344
AL,Rutledge town,0.135
AL,St. Florian town,0.05
AL,St. Stephens CDP,0.259
AL,Saks CDP,0.179
AL,Samson city,0.396
AL,Sand Rock town,0.059
AL,Sanford town,0.175
AL,Saraland city,0.112
AL,Sardis City town,0.125
AL,Satsuma city,0.103
AL,Scottsboro city,0.16
AL,Section town,0.259
AL,Selma city,0.419
AL,Selmont-West Selmont CDP,0.455
AL,Semmes city,0.192
AL,Sheffield city,0.25
AL,Shelby CDP,0.368
AL,Shiloh town,0.137
AL,Shoal Creek CDP,0.026
AL,Shorter town,0.129
AL,Silas town,0.49
AL,Silverhill town,0.075
AL,Sims Chapel CDP,0.086
AL,Sipsey town,0.152
AL,Skyline town,0.194
AL,Slocomb city,0.177
AL,Smiths Station city,0.135
AL,Smoke Rise CDP,0.05
AL,Snead town,0.11
AL,Somerville town,0.187
AL,Southside city,0.047
AL,South Vinemont town,0.328
AL,Spanish Fort city,0.078
AL,Spring Garden CDP,0.207
AL,Springville city,0.093
AL,Spruce Pine CDP,0
AL,Standing Rock CDP,0
AL,Stapleton CDP,0.07
AL,Steele town,0.175
AL,Sterrett CDP,0.085
AL,Stevenson city,0.245
AL,Stewartville CDP,0.175
AL,Stockton CDP,0.014
AL,Sulligent city,0.264
AL,Sumiton city,0.176
AL,Summerdale town,0.112
AL,Susan Moore town,0.206
AL,Sweet Water town,0.016
AL,Sylacauga city,0.298
AL,Sylvania town,0.179
AL,Sylvan Springs town,0.053
AL,Talladega city,0.272
AL,Talladega Springs town,0.125
AL,Tallassee city,0.171
AL,Tarrant city,0.318
AL,Taylor town,0.196
AL,Theodore CDP,0.122
AL,Thomaston town,0.183
AL,Thomasville city,0.133
AL,Thorsby town,0.192
AL,Tibbie CDP,0.708
AL,Tidmore Bend CDP,0.121
AL,Tillmans Corner CDP,0.177
AL,Town Creek town,0.296
AL,Toxey town,0.335
AL,Trafford town,0.291
AL,Triana town,0.271
AL,Trinity town,0.1
AL,Troy city,0.311
AL,Trussville city,0.047
AL,Tuscaloosa city,0.251
AL,Tuscumbia city,0.153
AL,Tuskegee city,0.276
AL,Twin town,0.165
AL,Underwood-Petersville CDP,0.129
AL,Union town,0.227
AL,Union Grove town,0.062
AL,Union Springs city,0.268
AL,Uniontown town,0.484
AL,Uriah CDP,0.147
AL,Valley city,0.185
AL,Valley Grande city,0.123
AL,Valley Head town,0.232
AL,Vance town,0.09
AL,Vandiver CDP,0.123
AL,Vernon city,0.311
AL,Vestavia Hills city,0.043
AL,Vina town,0.239
AL,Vincent town,0.109
AL,Vinegar Bend CDP,0
AL,Vredenburgh town,0.39
AL,Wadley town,0.347
AL,Waldo town,0.22
AL,Walnut Grove town,0.103
AL,Warrior city,0.188
AL,Waterloo town,0.182
AL,Waverly town,0.109
AL,Weaver city,0.057
AL,Webb town,0.187
AL,Wedowee town,0.267
AL,Weogufka CDP,0.432
AL,West Blocton town,0.316
AL,West End-Cobb Town CDP,0.196
AL,West Jefferson town,0.102
AL,Westover town,0.134
AL,West Point town,0.142
AL,Wetumpka city,0.107
AL,Whatley CDP,#VALUE!
AL,White Hall town,0.427
AL,White Plains CDP,0.05
AL,Whitesboro CDP,0.252
AL,Wilsonville town,0.203
AL,Wilton town,0.12
AL,Winfield city,0.133
AL,Woodland town,0.266
AL,Woodstock town,0.135
AL,Woodville town,0.259
AL,Yellow Bluff town,0.441
AL,York city,0.468
AK,Adak city,0.393
AK,Akhiok city,0.405
AK,Akiachak CDP,0.261
AK,Akiak city,0.313
AK,Akutan city,0.161
AK,Alakanuk city,0.446
AK,Alatna CDP,0
AK,Alcan Border CDP,0
AK,Aleknagik city,0.116
AK,Aleneva CDP,0
AK,Allakaket city,0.091
AK,Ambler city,0.214
AK,Anaktuvuk Pass city,0.263
AK,Anchorage municipality,0.082
AK,Anchor Point CDP,0.101
AK,Anderson city,0
AK,Angoon city,0.178
AK,Aniak city,0.19
AK,Anvik city,0.163
AK,Arctic Village CDP,0.366
AK,Atka city,0.015
AK,Atmautluak CDP,0.256
AK,Atqasuk city,0.233
AK,Attu Station CDP,#VALUE!
AK,Badger CDP,0.045
AK,Barrow city,0.117
AK,Bear Creek CDP,0.127
AK,Beaver CDP,0.3
AK,Beluga CDP,0.333
AK,Bethel city,0.114
AK,Bettles city,0
AK,Big Delta CDP,0.13
AK,Big Lake CDP,0.096
AK,Birch Creek CDP,1
AK,Brevig Mission city,0.576
AK,Buckland city,0.244
AK,Buffalo Soapstone CDP,0.046
AK,Butte CDP,0.096
AK,Cantwell CDP,0.091
AK,Central CDP,0.052
AK,Chalkyitsik CDP,0.366
AK,Chase CDP,0
AK,Chefornak city,0.184
AK,Chena Ridge CDP,0.049
AK,Chenega CDP,0.348
AK,Chevak city,0.328
AK,Chickaloon CDP,0.135
AK,Chicken CDP,#VALUE!
AK,Chignik city,0
AK,Chignik Lagoon CDP,0
AK,Chignik Lake CDP,0.086
AK,Chiniak CDP,0
AK,Chisana CDP,#VALUE!
AK,Chistochina CDP,0.203
AK,Chitina CDP,0.15
AK,Chuathbaluk city,0.505
AK,Circle CDP,0.636
AK,Clam Gulch CDP,0.132
AK,Clark's Point city,0.554
AK,Coffman Cove city,0.06
AK,Cohoe CDP,0.16
AK,Cold Bay city,0
AK,Coldfoot CDP,0.3
AK,College CDP,0.082
AK,Cooper Landing CDP,0.042
AK,Copper Center CDP,0.188
AK,Cordova city,0.058
AK,Covenant Life CDP,0
AK,Craig city,0.139
AK,Crooked Creek CDP,0.398
AK,Crown Point CDP,0
AK,Deering city,0.14
AK,Delta Junction city,0.106
AK,Deltana CDP,0.149
AK,Diamond Ridge CDP,0.092
AK,Dillingham city,0.123
AK,Diomede city,0.651
AK,Dot Lake CDP,#VALUE!
AK,Dot Lake Village CDP,0.259
AK,Dry Creek CDP,0.155
AK,Eagle city,0.258
AK,Eagle Village CDP,0.176
AK,Edna Bay city,#VALUE!
AK,Eek city,0.212
AK,Egegik city,0.176
AK,Eielson AFB CDP,0.068
AK,Ekwok city,0.286
AK,Elfin Cove CDP,0
AK,Elim city,0.293
AK,Emmonak city,0.258
AK,Ester CDP,0.091
AK,Eureka Roadhouse CDP,#VALUE!
AK,Evansville CDP,0
AK,Excursion Inlet CDP,0.125
AK,Fairbanks city,0.131
AK,False Pass city,0.054
AK,Farmers Loop CDP,0.058
AK,Farm Loop CDP,0.041
AK,Ferry CDP,1
AK,Fishhook CDP,0.048
AK,Flat CDP,#VALUE!
AK,Fort Greely CDP,0
AK,Fort Yukon city,0.185
AK,Four Mile Road CDP,0
AK,Fox CDP,0
AK,Fox River CDP,0.171
AK,Fritz Creek CDP,0.117
AK,Funny River CDP,0.119
AK,Gakona CDP,0.088
AK,Galena city,0.079
AK,Gambell city,0.413
AK,Game Creek CDP,0
AK,Gateway CDP,0.078
AK,Glacier View CDP,0.092
AK,Glennallen CDP,0
AK,Goldstream CDP,0.037
AK,Golovin city,0.394
AK,Goodnews Bay city,0.362
AK,Grayling city,0.42
AK,Gulkana CDP,0.078
AK,Gustavus city,0.081
AK,Haines CDP,0.051
AK,Halibut Cove CDP,0
AK,Happy Valley CDP,0.155
AK,Harding-Birch Lakes CDP,0.042
AK,Healy CDP,0.068
AK,Healy Lake CDP,#VALUE!
AK,Hobart Bay CDP,#VALUE!
AK,Hollis CDP,0.048
AK,Holy Cross city,0.131
AK,Homer city,0.126
AK,Hoonah city,0.164
AK,Hooper Bay city,0.409
AK,Hope CDP,0
AK,Houston city,0.148
AK,Hughes city,0.21
AK,Huslia city,0.245
AK,Hydaburg city,0.173
AK,Hyder CDP,0.462
AK,Igiugig CDP,0.061
AK,Iliamna CDP,0.158
AK,Ivanof Bay CDP,#VALUE!
AK,Juneau city and borough,0.066
AK,Kachemak city,0.089
AK,Kake city,0.218
AK,Kaktovik city,0.041
AK,Kalifornsky CDP,0.051
AK,Kaltag city,0.135
AK,Karluk CDP,0.318
AK,Kasaan city,0.028
AK,Kasigluk CDP,0.358
AK,Kasilof CDP,0.057
AK,Kenai city,0.109
AK,Kenny Lake CDP,0.359
AK,Ketchikan city,0.166
AK,Kiana city,0.363
AK,King Cove city,0.175
AK,King Salmon CDP,0.119
AK,Kipnuk CDP,0.351
AK,Kivalina city,0.299
AK,Klawock city,0.175
AK,Klukwan CDP,0.106
AK,Knik-Fairview CDP,0.082
AK,Knik River CDP,0.071
AK,Kobuk city,0.491
AK,Kodiak city,0.118
AK,Kodiak Station CDP,0.068
AK,Kokhanok CDP,0.241
AK,Koliganek CDP,0.147
